date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:29	1109/1109	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202024%2007:37:09%20GMT	https://officeprodeals.com/wp-content/uploads/elementor/css/post-969.css?ver=1722411429	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/uploads/elementor/css/post-9691046.css	(from https://officeprodeals.com/)
19:46:30	49169/49169	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202024%2007:37:18%20GMT	https://officeprodeals.com/wp-content/uploads/elementor/css/post-700.css?ver=1722411438	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/uploads/elementor/css/post-700c50f.css	(from https://officeprodeals.com/)
19:46:30	104552/104552	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202024%2009:05:30%20GMT	https://officeprodeals.com/wp-content/themes/blocksy/static/bundle/main.min.css?ver=2.0.41	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/themes/blocksy/static/bundle/main.minfa0d.css	(from https://officeprodeals.com/)
19:46:30	1516/1516	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202024%2009:05:30%20GMT	https://officeprodeals.com/wp-content/themes/blocksy/static/bundle/elementor-frontend.min.css?ver=2.0.41	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/themes/blocksy/static/bundle/elementor-frontend.minfa0d.css	(from https://officeprodeals.com/)
19:46:31	938/938	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202024%2009:05:30%20GMT	https://officeprodeals.com/wp-content/themes/blocksy/static/bundle/elementor-woocommerce-frontend.min.css?ver=2.0.41	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/themes/blocksy/static/bundle/elementor-woocommerce-frontend.minfa0d.css	(from https://officeprodeals.com/)
19:46:31	1949/1949	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202024%2009:05:30%20GMT	https://officeprodeals.com/wp-content/themes/blocksy/static/bundle/wpforms.min.css?ver=2.0.41	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/themes/blocksy/static/bundle/wpforms.minfa0d.css	(from https://officeprodeals.com/)
19:46:31	525/525	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20May%202024%2006:41:50%20GMT	https://officeprodeals.com/wp-content/plugins/blocksy-companion/static/bundle/header-account.min.css?ver=2.0.47	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/blocksy-companion/static/bundle/header-account.min03bf.css	(from https://officeprodeals.com/)
19:46:32	87553/87553	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Aug%202023%2017:14:23%20GMT	https://officeprodeals.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://officeprodeals.com/)
19:46:32	13577/13577	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2005:49:24%20GMT	https://officeprodeals.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://officeprodeals.com/)
19:46:32	9636/9636	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Aug%202024%2005:23:27%20GMT	https://officeprodeals.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.1.4	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.minb152.js	(from https://officeprodeals.com/)
19:46:33	3058/3058	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Aug%202024%2005:23:27%20GMT	https://officeprodeals.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=9.1.4	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min4615.js	(from https://officeprodeals.com/)
19:46:33	1720/1720	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Aug%202024%2005:23:27%20GMT	https://officeprodeals.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.9.1.4	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.minf31e.js	(from https://officeprodeals.com/)
19:46:34	2467/2467	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Aug%202024%2005:23:27%20GMT	https://officeprodeals.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=9.1.4	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min4615.js	(from https://officeprodeals.com/)
19:46:34	2939/2939	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Aug%202024%2005:23:27%20GMT	https://officeprodeals.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=9.1.4	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min4615.js	(from https://officeprodeals.com/)
19:46:36	59413/59413	---MC-	200	added ('OK')	application/json	etag:%221192-1723488395;;;%22	https://officeprodeals.com/wp-json/wp/v2/pages/700	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-json/wp/v2/pages/700.json	(from https://officeprodeals.com/)
19:46:37	822/822	---M-Z	200	added ('OK')	text/xml	date:Mon,%2012%20Aug%202024%2018:46:37%20GMT	https://officeprodeals.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/xmlrpc0db0.php	(from https://officeprodeals.com/)
19:46:38	1221987/1221987	---MC-	200	added ('OK')	application/json	etag:%221191-1723488395;;;%22	https://officeprodeals.com/wp-json/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-json/index.html	(from https://officeprodeals.com/)
19:46:38	2061/2061	---M--	200	added ('OK')	application/json	etag:%221193-1723488398;;;%22	https://officeprodeals.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fofficeprodeals.com%2F	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-json/oembed/1.0/embed56da.json	(from https://officeprodeals.com/)
19:46:39	2223/2223	---M-Z	200	added ('OK')	text/xml	etag:%221194-1723488399;gz%22	https://officeprodeals.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fofficeprodeals.com%2F&format=xml	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-json/oembed/1.0/embed5e8b	(from https://officeprodeals.com/)
19:46:39	99/99	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202024%2009:05:30%20GMT	https://officeprodeals.com/wp-content/themes/blocksy/static/bundle/no-scripts.min.css	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/themes/blocksy/static/bundle/no-scripts.min.css	(from https://officeprodeals.com/)
19:46:39	326628/326628	---M--	200	added ('OK')	font/woff2	date:Fri,%2009%20Aug%202024%2005:23:27%20GMT	https://officeprodeals.com/wp-content/plugins/woocommerce/assets/fonts/Inter-VariableFont_slnt,wght.woff2	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/woocommerce/assets/fonts/Inter-VariableFont_slnt,wght.woff2	(from https://officeprodeals.com/)
19:46:40	4804/4804	---M--	200	added ('OK')	image/png	date:Fri,%2010%20May%202024%2011:40:11%20GMT	https://officeprodeals.com/wp-content/uploads/2024/05/officeprodeals.png	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/uploads/2024/05/officeprodeals.png	(from https://officeprodeals.com/)
19:46:41	146060/146060	---M--	200	added ('OK')	font/woff2	date:Fri,%2009%20Aug%202024%2005:23:27%20GMT	https://officeprodeals.com/wp-content/plugins/woocommerce/assets/fonts/cardo_normal_400.woff2	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/woocommerce/assets/fonts/cardo_normal_400.woff2	(from https://officeprodeals.com/)
19:46:41	69597/69597	---MCZ	200	added ('OK')	text/html	etag:%221188-1723361430;gz%22	https://officeprodeals.com/products/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/products/index.html	(from https://officeprodeals.com/)
19:46:41	10094/10094	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202024%2007:36:45%20GMT	https://officeprodeals.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	(from https://officeprodeals.com/)
19:46:42	99233/99233	---MCZ	200	added ('OK')	text/html	etag:%221168-1723198832;gz%22	https://officeprodeals.com/contact-us/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/contact-us/index.html	(from https://officeprodeals.com/)
19:46:42	67225/67225	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2018:46:41%20GMT	https://officeprodeals.com/my-account/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/my-account/index.html	(from https://officeprodeals.com/)
19:46:42	4122/4122	---M--	200	added ('OK')	image/webp	date:Wed,%2024%20Jul%202024%2007:49:58%20GMT	https://officeprodeals.com/wp-content/uploads/2024/06/Office-2007-1-300x300.webp	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/uploads/2024/06/Office-2007-1-300x300.webp	(from https://officeprodeals.com/)
19:46:42	71814/71814	---MCZ	200	added ('OK')	text/html	etag:%221169-1723198834;gz%22	https://officeprodeals.com/privacy-policy/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/privacy-policy/index.html	(from https://officeprodeals.com/)
19:46:43	82412/82412	---MCZ	200	added ('OK')	text/html	etag:%221167-1723198830;gz%22	https://officeprodeals.com/about-us/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/about-us/index.html	(from https://officeprodeals.com/)
19:46:43	126708/126708	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2018:46:42%20GMT	https://officeprodeals.com/cart/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/cart/index.html	(from https://officeprodeals.com/)
19:46:43	96362/96362	---MCZ	200	added ('OK')	text/html	etag:%221185-1723305231;gz%22	https://officeprodeals.com/product/microsoft-office-2007-with-software-and-key/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/product/microsoft-office-2007-with-software-and-key/index.html	(from https://officeprodeals.com/)
19:46:43	10712/10712	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Jul%202024%2007:49:52%20GMT	https://officeprodeals.com/wp-content/uploads/2024/06/microsoft-office-2010-professional-plus-32-64-bit-product-key-300x316.jpg	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/uploads/2024/06/microsoft-office-2010-professional-plus-32-64-bit-product-key-300x316.jpg	(from https://officeprodeals.com/)
19:46:44	69655/69655	---MCZ	200	added ('OK')	text/html	etag:%221170-1723198836;gz%22	https://officeprodeals.com/product-category/office/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/product-category/office/index.html	(from https://officeprodeals.com/)
19:46:44	96280/96280	---MCZ	200	added ('OK')	text/html	etag:%221171-1723198838;gz%22	https://officeprodeals.com/product/office-2010-professional-plus/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/product/office-2010-professional-plus/index.html	(from https://officeprodeals.com/)
19:46:44	30384/30384	---M--	200	added ('OK')	image/webp	date:Tue,%2023%20Apr%202024%2009:09:06%20GMT	https://officeprodeals.com/wp-content/uploads/2022/05/article-image-5-768x637.webp	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/uploads/2022/05/article-image-5-768x637.webp	(from https://officeprodeals.com/)
19:46:45	118381/118381	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2018:46:44%20GMT	https://officeprodeals.com/?add-to-cart=1109	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/index760b.html	(from https://officeprodeals.com/)
19:46:45	18398/18398	---M--	200	added ('OK')	image/webp	date:Tue,%2023%20Apr%202024%2009:09:01%20GMT	https://officeprodeals.com/wp-content/uploads/2022/05/article-image-4-768x637.webp	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/uploads/2022/05/article-image-4-768x637.webp	(from https://officeprodeals.com/)
19:46:45	72512/72512	---MCZ	200	added ('OK')	text/html	etag:%221195-1723488405;gz%22	https://officeprodeals.com/amet-commodo-nulla-facilisi-vehicula-ipsum/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/amet-commodo-nulla-facilisi-vehicula-ipsum/index.html	(from https://officeprodeals.com/)
19:46:46	118368/118368	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2018:46:45%20GMT	https://officeprodeals.com/?add-to-cart=1115	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/index233f.html	(from https://officeprodeals.com/)
19:46:46	66524/66524	---MCZ	200	added ('OK')	text/html	etag:%221178-1723243894;gz%22	https://officeprodeals.com/category/useful/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/category/useful/index.html	(from https://officeprodeals.com/)
19:46:46	38394/38394	---M--	200	added ('OK')	image/webp	date:Tue,%2023%20Apr%202024%2009:08:56%20GMT	https://officeprodeals.com/wp-content/uploads/2022/05/article-image-6-768x637.webp	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/uploads/2022/05/article-image-6-768x637.webp	(from https://officeprodeals.com/)
19:46:46	72526/72526	---MCZ	200	added ('OK')	text/html	etag:%221181-1723261765;gz%22	https://officeprodeals.com/urnaneque-viverra-justo-ultrices-sapieneget/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/urnaneque-viverra-justo-ultrices-sapieneget/index.html	(from https://officeprodeals.com/)
19:46:46	66548/66548	---MCZ	200	added ('OK')	text/html	etag:%221176-1723225175;gz%22	https://officeprodeals.com/category/gadgets/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/category/gadgets/index.html	(from https://officeprodeals.com/)
19:46:46	3349/3349	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Apr%202024%2010:06:39%20GMT	https://officeprodeals.com/wp-content/plugins/testimonial-slider-and-showcase/assets/images/placeholder.png	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/testimonial-slider-and-showcase/assets/images/placeholder.png	(from https://officeprodeals.com/)
19:46:47	72570/72570	---MCZ	200	added ('OK')	text/html	etag:%221196-1723488406;gz%22	https://officeprodeals.com/tristique-magna-amet-purus-gravida-quisblandit/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/tristique-magna-amet-purus-gravida-quisblandit/index.html	(from https://officeprodeals.com/)
19:46:47	66606/66606	---MCZ	200	added ('OK')	text/html	etag:%221197-1723488407;gz%22	https://officeprodeals.com/category/expirience/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/category/expirience/index.html	(from https://officeprodeals.com/)
19:46:47	12795/12795	---M-Z	200	added ('OK')	text/css	date:Fri,%2009%20Aug%202024%2005:23:27%20GMT	https://officeprodeals.com/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks.css?ver=wc-9.1.4	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocksbbf5.css	(from https://officeprodeals.com/)
19:46:48	67775/67775	---MCZ	200	added ('OK')	text/html	etag:%221187-1723334446;gz%22	https://officeprodeals.com/cancellation-refund/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/cancellation-refund/index.html	(from https://officeprodeals.com/)
19:46:48	65460/65460	---MCZ	200	added ('OK')	text/html	etag:%221172-1723198839;gz%22	https://officeprodeals.com/terms-and-conditions/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/terms-and-conditions/index.html	(from https://officeprodeals.com/)
19:46:48	879/879	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202024%2010:06:39%20GMT	https://officeprodeals.com/wp-content/plugins/testimonial-slider-and-showcase/assets/vendor/fontello/css/tss-font.min.css?ver=2.3.10	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/testimonial-slider-and-showcase/assets/vendor/fontello/css/tss-font.min42d8.css	(from https://officeprodeals.com/)
19:46:49	59016/59016	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Mar%202021%2021:16:22%20GMT	https://officeprodeals.com/wp-includes/css/dashicons.min.css?ver=6.6.1	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-includes/css/dashicons.minb6a4.css	(from https://officeprodeals.com/)
19:46:49	15315/15315	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Aug%202024%2005:23:27%20GMT	https://officeprodeals.com/wp-content/plugins/woocommerce/assets/js/sourcebuster/sourcebuster.min.js?ver=9.1.4	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/woocommerce/assets/js/sourcebuster/sourcebuster.min4615.js	(from https://officeprodeals.com/)
19:46:49	2356/2356	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Aug%202024%2005:23:27%20GMT	https://officeprodeals.com/wp-content/plugins/woocommerce/assets/js/frontend/order-attribution.min.js?ver=9.1.4	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/woocommerce/assets/js/frontend/order-attribution.min4615.js	(from https://officeprodeals.com/)
19:46:50	30609/30609	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2023%20Apr%202024%2009:05:30%20GMT	https://officeprodeals.com/wp-content/themes/blocksy/static/bundle/main.js?ver=2.0.41	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/themes/blocksy/static/bundle/mainfa0d.js	(from https://officeprodeals.com/)
19:46:50	4997/4997	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2031%20Jul%202024%2007:36:45%20GMT	https://officeprodeals.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.23.3	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min28fc.js	(from https://officeprodeals.com/)
19:46:51	73568/73568	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2031%20Jul%202024%2007:36:45%20GMT	https://officeprodeals.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.23.3	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/elementor/assets/js/frontend-modules.min28fc.js	(from https://officeprodeals.com/)
19:46:51	12198/12198	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2031%20Jul%202024%2007:36:45%20GMT	https://officeprodeals.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://officeprodeals.com/)
19:46:51	21464/21464	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jul%202024%2021:01:48%20GMT	https://officeprodeals.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-includes/js/jquery/ui/core.minb37e.js	(from https://officeprodeals.com/)
19:46:52	40249/40249	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2031%20Jul%202024%2007:36:45%20GMT	https://officeprodeals.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.23.3	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/elementor/assets/js/frontend.min28fc.js	(from https://officeprodeals.com/)
19:46:52	18833/18833	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2015:18:25%20GMT	https://officeprodeals.com/wp-includes/js/underscore.min.js?ver=1.13.4	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-includes/js/underscore.mind584.js	(from https://officeprodeals.com/)
19:46:53	1426/1426	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2020%20Sep%202022%2003:52:10%20GMT	https://officeprodeals.com/wp-includes/js/wp-util.min.js?ver=6.6.1	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-includes/js/wp-util.minb6a4.js	(from https://officeprodeals.com/)
19:46:53	771/771	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2011%20May%202024%2006:42:08%20GMT	https://officeprodeals.com/wp-content/plugins/wpforms-lite/assets/js/integrations/elementor/frontend.min.js?ver=1.8.8.3	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/wpforms-lite/assets/js/integrations/elementor/frontend.min8cb8.js	(from https://officeprodeals.com/)
19:46:54	5498/5498	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2023%20Apr%202024%2010:06:39%20GMT	https://officeprodeals.com/wp-content/plugins/testimonial-slider-and-showcase/assets/vendor/isotope/imagesloaded.pkgd.min.js?ver=2.3.10	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/testimonial-slider-and-showcase/assets/vendor/isotope/imagesloaded.pkgd.min42d8.js	(from https://officeprodeals.com/)
